Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Kasımpaşa,2021-2022,39,26.7,18,4,625000,156250,16,11300000,706250,6,10775000,1795833.3333333333,13,20450000,1573076.923076923,1110000,43150000
Kayserispor,2021-2022,47,26.1,20,6,4150000,691666.6666666666,16,14250000,890625,13,12875000,990384.6153846154,12,9625000,802083.3333333334,870000,40900000
Antalyaspor,2021-2022,41,26.5,18,5,1075000,215000,16,12800000,800000,8,3825000,478125,12,19950000,1662500,918000,37650000
Hatayspor,2021-2022,35,26.2,15,4,1700000,425000,14,9925000,708928.5714285715,8,8725000,1090625,9,15825000,1758333.3333333333,1030000,36180000
Karagümrük,2021-2022,40,27.2,19,4,550000,137500,17,12975000,763235.2941176471,10,7225000,722500,9,15400000,1711111.111111111,904000,36150000
Giresunspor,2021-2022,43,24.6,15,5,1300000,260000,20,10175000,508750,6,9825000,1637500,12,10400000,866666.6666666666,737000,31700000
Sivasspor,2021-2022,35,28.1,14,3,1050000,350000,17,14450000,850000,4,3650000,912500,11,11425000,1038636.3636363636,874000,30580000
Gaziantep FK,2021-2022,35,27.2,16,4,2650000,662500,14,9925000,708928.5714285715,8,10275000,1284375,9,7425000,825000,865000,30280000
Göztepe,2021-2022,49,24.7,16,5,2975000,595000,24,8525000,355208.3333333333,8,5275000,659375,12,7900000,658333.3333333334,504000,24680000
Ç. Rizespor,2021-2022,43,26.7,19,4,1975000,493750,18,5625000,312500,6,8925000,1487500,15,7475000,498333.3333333333,558000,24000000
Y. Malatyaspor,2021-2022,49,24.7,18,5,875000,175000,25,10050000,402000,5,1800000,360000,14,7650000,546428.5714285715,416000,20380000
Altay SK,2021-2022,36,27,13,4,1150000,287500,16,6750000,421875,6,3500000,583333.3333333334,10,2850000,285000,396000,14250000
Galatasaray,2022-2023,42,26.4,21,3,2675000,891666.6666666666,20,79775000,3988750,7,24250000,3464285.714285714,12,95950000,7995833.333333333,4830000,202650000
Fenerbahçe,2022-2023,43,26.1,21,4,13050000,3262500,20,75100000,3755000,9,49850000,5538888.888888889,10,55225000,5522500,4490000,193230000
Trabzonspor,2022-2023,47,25.5,18,4,12325000,3081250,20,48200000,2410000,9,34500000,3833333.3333333335,14,40275000,2876785.714285714,2880000,135300000
Beşiktaş,2022-2023,44,26.8,20,4,6500000,1625000,19,43825000,2306578.947368421,8,30950000,3868750,13,46425000,3571153.846153846,2900000,127700000
Başakşehir,2022-2023,43,27.1,23,4,1650000,412500,20,29800000,1490000,7,8075000,1153571.4285714286,12,35575000,2964583.3333333335,1750000,75100000
Adana Demirspor,2022-2023,44,27.8,23,3,925000,308333.3333333333,17,26600000,1564705.8823529412,7,5875000,839285.7142857143,17,24250000,1426470.5882352942,1310000,57650000
Konyaspor,2022-2023,38,26.9,20,4,1600000,400000,14,18150000,1296428.5714285714,7,15150000,2164285.714285714,13,13675000,1051923.076923077,1280000,48580000
Alanyaspor,2022-2023,42,25.8,20,6,1725000,287500,17,16450000,967647.0588235294,7,9650000,1378571.4285714286,12,15450000,1287500,1030000,43280000
Antalyaspor,2022-2023,43,26.4,18,5,1925000,385000,16,16175000,1010937.5,11,5775000,525000,11,17725000,1611363.6363636365,967000,41600000
Ankaragücü,2022-2023,51,26.5,21,5,2275000,455000,23,18450000,802173.9130434783,8,6675000,834375,15,13075000,871666.6666666666,794000,40480000
Karagümrük,2022-2023,40,26.9,21,4,950000,237500,15,17100000,1140000,11,6725000,611363.6363636364,10,15550000,1555000,1010000,40330000
Kasımpaşa,2022-2023,47,26.4,19,7,2650000,378571.4285714286,21,13600000,647619.0476190476,8,10725000,1340625,11,12250000,1113636.3636363635,835000,39230000
Kayserispor,2022-2023,36,26.1,15,4,1875000,468750,15,12550000,836666.6666666666,6,7500000,1250000,11,9125000,829545.4545454546,863000,31050000
Sivasspor,2022-2023,38,27.9,17,4,550000,137500,16,12275000,767187.5,7,7875000,1125000,11,8225000,747727.2727272727,761000,28930000
Gaziantep FK,2022-2023,30,27.1,16,3,2175000,725000,12,7800000,650000,7,6900000,985714.2857142856,8,7225000,903125,803000,24100000
Hatayspor,2022-2023,34,27.5,15,3,575000,191666.66666666663,14,6525000,466071.4285714286,6,2700000,450000,11,13225000,1202272.7272727273,677000,23030000
İstanbulspor,2022-2023,45,25.8,20,5,750000,150000,18,7825000,434722.22222222225,8,1925000,240625,14,7925000,566071.4285714285,409000,18430000
